,name,street_address,price,cuisine,rating,latitude,longitude,price_mid,cuisine_cat
0,1-V:U,"The Outpost Hotel Sentosa, 10 Artillery Avenue, Level 7",$31 - $50,Asian Variety,3.5,1.252299,103.820211,40.5,0
1,10 At Claymore,"Pan Pacific Orchard, 10 Claymore Road Level 2",$51 - $80,Multi-Cuisine,4.0,1.307401,103.829904,65.5,1
3,100g Korean BBQ,93 Amoy Street,$21 - $30,Korean,3.5,1.281299,103.847092,25.5,2
4,10th Chocolate Street,"GSM Buidling, 141 Middle Road",$11 - $20,Belgian,3.5,1.299438,103.852403,15.5,3
5,123 Seafood,"Chinatown Complex Market and Food Centre, 335 Smith St #02-203/204",$0 - $9,"Singaporean, Chinese",3.5,1.28236,103.843546,4.5,4
5,123 Seafood,"Chinatown Complex Market and Food Centre, 335 Smith St #02-203/204",$0 - $9,"Singaporean, Chinese",3.5,1.28236,103.843546,4.5,5
6,126 Wen Dou Sek,126 Sims Avenue,$11 - $20,Cantonese/Hong Kong,4.0,1.314219,103.878429,15.5,6
6,126 Wen Dou Sek,126 Sims Avenue,$11 - $20,Cantonese/Hong Kong,4.0,1.314219,103.878429,15.5,7
7,126 Wen Dou Sek,1086 Serangoon Road,$0 - $9,Cantonese/Hong Kong,3.5,1.323609,103.86496,4.5,6
7,126 Wen Dou Sek,1086 Serangoon Road,$0 - $9,Cantonese/Hong Kong,3.5,1.323609,103.86496,4.5,7
10,132 Traditional Teochew Noodle,"CCMW Coffeeshop, Blk 59 Marine Terrace, #01-105",$0 - $9,Chinese,3.0,1.305812,103.914768,4.5,5
12,136 Hong Kong Street Fish Head Steamboat,291 South Bridge Road,$11 - $20,"Teochew, Chinese",3.5,1.281415,103.845043,15.5,8
12,136 Hong Kong Street Fish Head Steamboat,291 South Bridge Road,$11 - $20,"Teochew, Chinese",3.5,1.281415,103.845043,15.5,5
13,136 Hong Kong Street Fish Head Steamboat,Blk 19 Lorong 7 Toa Payoh #01-264,$11 - $20,Cantonese/Hong Kong,3.5,1.33533,103.856453,15.5,6
13,136 Hong Kong Street Fish Head Steamboat,Blk 19 Lorong 7 Toa Payoh #01-264,$11 - $20,Cantonese/Hong Kong,3.5,1.33533,103.856453,15.5,7
15,138 Kway Chap Porridge,"Bukit Timah Market &amp; Food Centre, 116 Upper Bukit Timah Road #02-138",$0 - $9,Singaporean,3.5,1.339401,103.776083,4.5,4
17,18 Economical Delights,"Maxwell Food Centre, 1 Kadayanallur St #01-18",$0 - $9,"Singaporean, Chinese",3.5,1.280489,103.844672,4.5,4
17,18 Economical Delights,"Maxwell Food Centre, 1 Kadayanallur St #01-18",$0 - $9,"Singaporean, Chinese",3.5,1.280489,103.844672,4.5,5
20,1983 A Taste Of Nanyang,"Jem, 50 Jurong Gateway Road #05-04 (Cookhouse)",$0 - $9,Malay,3.5,1.333169,103.743536,4.5,9
21,1st Grade Otah,"Downtown East, 1 Pasir Ris Close #01-22",$0 - $9,Singaporean,3.0,1.377757,103.955297,4.5,4
24,201C Fish Ball Noodles,Blk 201C Tampines St 21,$0 - $9,"Singaporean, Chinese",3.5,1.352813,103.953001,4.5,4
24,201C Fish Ball Noodles,Blk 201C Tampines St 21,$0 - $9,"Singaporean, Chinese",3.5,1.352813,103.953001,4.5,5
26,21 on Rajah,"Days Hotel, 1 Jalan Rajah Road",$31 - $50,"Middle Eastern/Mediterranean, Singaporean",3.5,1.326978,103.847366,40.5,10
26,21 on Rajah,"Days Hotel, 1 Jalan Rajah Road",$31 - $50,"Middle Eastern/Mediterranean, Singaporean",3.5,1.326978,103.847366,40.5,11
26,21 on Rajah,"Days Hotel, 1 Jalan Rajah Road",$31 - $50,"Middle Eastern/Mediterranean, Singaporean",3.5,1.326978,103.847366,40.5,4
27,2D1N Soju Bang Korean Restaurant,44/46 Tanjong Pagar Road,$31 - $50,Korean,4.0,1.279349,103.843652,40.5,2
28,2nd Mini Steamboat Delight,"Novena Gardens, 273 Thomson Road, #01-04",$11 - $20,Singaporean,4.0,1.320479,103.841994,15.5,4
29,2The Pot,333 Joo Chiat Road,$11 - $20,"Thai, Chinese",3.5,1.309063,103.90282,15.5,12
29,2The Pot,333 Joo Chiat Road,$11 - $20,"Thai, Chinese",3.5,1.309063,103.90282,15.5,5
30,328 Katong Laksa,"Queensway Shopping Centre, 1 Queensway #01-60",$0 - $9,Peranakan / Nonya,3.5,1.287477,103.8034,4.5,13
30,328 Katong Laksa,"Queensway Shopping Centre, 1 Queensway #01-60",$0 - $9,Peranakan / Nonya,3.5,1.287477,103.8034,4.5,14
31,328 Katong Laksa,51 East Coast Road,$0 - $9,Singaporean Chinese,3.5,1.305096,103.903211,4.5,15
32,328 Katong Laksa,216 East Coast Road,$0 - $9,Chinese,3.5,1.307317,103.907347,4.5,5
33,363 Holland Village Nasi Lemak,"Holland Village Market &amp; Food Centre, 1 Lorong Mambong #01-15",$0 - $9,Malay,3.5,1.311803,103.796177,4.5,9
34,4 Fingers Crispy Chicken,"Plaza Singapura, 68 Orchard Road #B1-07",$0 - $9,Korean,3.5,1.300005,103.844626,4.5,2
35,4 Fingers Crispy Chicken,"ION Orchard, 2 Orchard Turn #B4-06A",$0 - $9,Korean,3.5,1.304082,103.832016,4.5,2
36,5 Drunken Rabbits Bistro &amp; Bar,201 Pasir Ris Road,$21 - $30,American,3.0,1.382091,103.947924,25.5,16
37,5 Little Bears,"Far East Plaza, 14 Scotts Road #01-07",$0 - $9,"Taiwanese, Chinese",3.0,1.307079,103.833146,4.5,17
37,5 Little Bears,"Far East Plaza, 14 Scotts Road #01-07",$0 - $9,"Taiwanese, Chinese",3.0,1.307079,103.833146,4.5,5
38,5 Little Bears,"Paya Lebar Square, 60 Paya Lebar Road #B1-09",$0 - $9,Taiwanese,3.5,1.318786,103.892577,4.5,17
39,5 Senses,"799 New Upper Changi Road, #02-30/31",$11 - $20,French,3.5,1.324952,103.932317,15.5,18
41,69 Cold Soya Beancurd,"115 Bukit Merah View Market &amp; Food Centre, Blk 115 Bukit Merah View #01-76",$0 - $9,"Singaporean, Chinese",3.5,1.285187,103.822077,4.5,4
41,69 Cold Soya Beancurd,"115 Bukit Merah View Market &amp; Food Centre, Blk 115 Bukit Merah View #01-76",$0 - $9,"Singaporean, Chinese",3.5,1.285187,103.822077,4.5,5
42,(7&quot;)&#178; Pizza,"Lau Pa Sat Festival Market, 18 Raffles Quay",$0 - $9,Italian,3.5,1.280259,103.850614,4.5,19
44,7 Wonders Seafood,369 Jalan Besar,$11 - $20,Singaporean Chinese,3.5,1.312819,103.859594,15.5,15
46,761 Yishun Seafood,"Blk 761, Yishun St 72",$0 - $9,Singaporean,3.0,1.425474,103.833219,4.5,4
47,78 Economic Mixed Rice - KTP Coffee Shop,"KTP Coffee Shop, 401 Hougang Avenue 10",$0 - $9,Singaporean,3.5,1.37484,103.896991,4.5,4
48,8 Korean BBQ,"The Central, 6 Eu Tong Sen St #02-79/90",$31 - $50,Korean,4.0,1.28878,103.846236,40.5,2
49,8 Korean BBQ,"1 Scotts Road, #04-20/21 Shaw Centre",$31 - $50,Korean,3.5,1.305918,103.832015,40.5,2
51,85 Bedok North Fried Oyster,"Bedok 85 Market, Blk 85 Bedok North St 4 #01-09/10",$0 - $9,"Singaporean, Chinese",3.5,1.332,103.938762,4.5,4
51,85 Bedok North Fried Oyster,"Bedok 85 Market, Blk 85 Bedok North St 4 #01-09/10",$0 - $9,"Singaporean, Chinese",3.5,1.332,103.938762,4.5,5
52,88 Chicken Rice,Blk 726 Clementi West,$0 - $9,"Singaporean, Chinese",3.5,1.30413,103.764564,4.5,4
52,88 Chicken Rice,Blk 726 Clementi West,$0 - $9,"Singaporean, Chinese",3.5,1.30413,103.764564,4.5,5
53,8Tarts n Pastries,"Tampines Mall, 4 Tampines Central 5 #B1-K13",$0 - $9,Cantonese/Hong Kong,3.5,1.352645,103.94473,4.5,6
53,8Tarts n Pastries,"Tampines Mall, 4 Tampines Central 5 #B1-K13",$0 - $9,Cantonese/Hong Kong,3.5,1.352645,103.94473,4.5,7
56,9Goubuli,"Marina Bay Sands, 2 Bayfront Avenue #B2-02 (The Shoppes)",$21 - $30,Singaporean Chinese,3.5,1.283697,103.860723,25.5,15
57,A B Mohamed Restaurant,276/8 Serangoon Road,$0 - $9,Indian,3.5,1.310496,103.854587,4.5,20
58,A for Arbite,28 Aliwal St #01-01,$21 - $30,Fusion,4.0,1.302552,103.86107,25.5,21
59,A-Gan TEA,Blk 703 Ang Mo Kio Ave 8 #01-25,$0 - $9,Taiwanese,3.5,1.369778,103.84732,4.5,17
60,A-One Bak Kut Teh,"The Star Vista, 1 Vista Exchange Green #01-46",$11 - $20,"Singaporean, Chinese",3.5,1.306871,103.78857,15.5,4
60,A-One Bak Kut Teh,"The Star Vista, 1 Vista Exchange Green #01-46",$11 - $20,"Singaporean, Chinese",3.5,1.306871,103.78857,15.5,5
62,A-One Claypot House,"Bukit Panjang Plaza, 1 Jelubu Road #01-58/59",$11 - $20,Chinese,3.5,1.378902,103.76171,15.5,5
64,A-One Claypot House,Tampines 1 #05-04,$0 - $9,Chinese,3.5,1.354803,103.943453,4.5,5
66,A.R.C. Coffee,29/31 Sultan Gate,$11 - $20,American,3.5,1.30137,103.860681,15.5,16
67,A-Roy Thai Restaurant,"238 Thomson Road, #03-61, Novena Square",$11 - $20,Thai,4.0,1.319589,103.844028,15.5,12
68,A-Roy Thai Restaurant,"Goodwill Court, 81 Upper East Coast Road",$11 - $20,Thai,4.0,1.312998,103.927624,15.5,12
69,A&amp;W,"Jewel Changi Airport, 78 Airport Boulevard, #B2-209",$0 - $9,American,3.5,1.360234,103.989709,4.5,16
70,A1 Chicken Rice,"Ang Mo Kio Market &amp; Food Centre, Blk 724 Ang Mo Kio Ave 6 #01-42",$0 - $9,Hainanese,3.5,1.37008,103.849523,4.5,22
72,A1 Family Ayam Goreng &amp; Western Food - TP406 Food House,406 Tampines Street 41 #01-07,$0 - $9,Singaporean Western,3.5,1.358074,103.945768,4.5,23
74,Absinthe,72 Boat Quay,$51 - $80,French,3.5,1.288015,103.849246,65.5,18
